"","Plasma.T.rd","Time.trap","Time.bled","Time.delay","FW.No","ABBBS.No.","Current.Colors","Year","Date","recap","Site","Bander","Sex","Sexed.how.","Age","Aged.how.","Plumage.Type","wing","tarsus","tail","Top.Culm","Brood.Patch","Shoulder.Area","Eyebrow","White.Chin","fat","Ectoparasites","Molt.wing","Molt.total","bird.weight","status","Breed.stage","Blood.hemato","Blood.plasma","Plasma.T","Molt.","Eccentric.molt.","Minimum.T.","Eggs","MTresid","logMTresid","Eyebrow.Length","Playback.Used.","index","Sample","pg.in.tube","recovery","total.pg","Plasma.mL","prop.in.assay","mL.in.tube","pg.mL","minTmerge","Subspecies","jul_date","Time_delay_sec","MoltYN","BreedYN","sunrise","Time.trap.sec","T_aft_sunrise","LPlasma.T","minT_compiled","andr.detected"
"32",59.13,"6:49:03","6:55:09","0:06:06","14-04046",36163,"YEG","2016","2/16/16",1,"Porotona","RAB","F","Known","3+","Known","Black",44.9,23.6,48.8,NA,"Y",NA,"N","N",2,0,1,2,8.56,"BF","Prebreed",57.2,46.7,59.13,0,"Y","yes",NA,NA,NA,NA,"Y",334,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",47,366,"Yes","No",21600,24543,2943,4.07973840983274,"yes",0
"33",76.09,"18:07:00","18:17:00","0:10:00","15-04127",47718,"BGW","2016","1/21/16",1,"Garuahi","EDE","F","Plum","2+","Known","Black",43.77,23.2,45.92,NA,"N",NA,"M","N",2,0,1,10,8.57,"BF","Prebreed",42.75,40.64,76.09,0,"Y","yes",NA,NA,NA,5,"N",306,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",21,600,"Yes","No",21600,65220,43620,4.33191685018843,"yes",0
"34",82,"9:26:30","9:31:23","0:04:53","14-04024",36128,"EYO","2016","2/28/16",1,"Porotona","RAB","M","S, CP","2","Known","Glossy",45.9,23.3,45.3,NA,NA,NA,"N","N",2,0,0,2,9.5,"BM","Prebreed",53,48,82,0,NA,"yes",NA,NA,NA,NA,"Y",329,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",59,293,"Yes","No",21600,33990,12390,4.40671924726425,"yes",0
"35",92.21,"17:25:00","17:30:00","0:05:00","14-04109",36142,"BOO","2016","3/7/16",1,"Obo","PEC","F","Plum","3+","Known","DBrown",42.63,21.6,47.2,NA,"Old",NA,"H","h",2,1,2,13,7.38,"BF","Prebreed",21.39,38.64,92.21,0,"Y","yes",NA,NA,NA,NA,"N",345,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",67,300,"Yes","No",21600,62700,41100,4.52406858455105,"yes",0
"36",110.11,"16:52:00","17:01:15","0:09:15","16-04030",47807,"OGE","2016","2/2/16",1,"Garuahi","EDE","F","Plum","1+","Plumage","Black",43.17,23,43.38,NA,"Y",NA,"N","N",2,0,0,2,8.17,NA,"Prebreed",28.96,34.58,110.11,0,"N","no",NA,NA,NA,NA,"N",313,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",33,555,"Yes","No",21600,60720,39120,4.7014798661255,"no",1
"37",116.71,"15:55:42","16:03:10","0:07:28","15-04123",47707,"GWO","2016","3/21/16",1,"Garuahi","RAB","F","Known","2+","Known","Black",43.1,22.9,45.7,NA,"Y",NA,"N","N",2,0,1,5,9.01,"BF","Fledglg",55.2,53.7,116.71,0,"?","no",NA,NA,NA,NA,"N",338,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",81,448,"Yes","Yes",21600,57342,35742,4.75969222542426,"no",1
"38",122.58,"7:04:15","7:07:00","0:02:45","14-04030",36148,"WEK","2016","2/2/16",1,"Garuahi","EDE","F","Plum","3","Known","Black",42.76,22.35,42.37,NA,"Y",NA,"L","N",1,0,0,0,8.34,NA,"Incub",35.57,27.62,122.58,0,NA,"yes",NA,NA,NA,NA,"Y",311,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",33,165,"No","Yes",21600,25455,3855,4.80876387805759,"yes",0
"39",160.23,"8:45:03","8:59:45","0:14:42","15-04027",47631,"KBE","2016","3/8/16",1,"Obo","EDE","F","Known","1","Known","DBrown",42.09,21.22,47.84,NA,"N",NA,"H","H",1,1,1,6,7.34,"BF","Prebreed",29.54,22.72,160.23,0,"N","yes",NA,NA,NA,11,"N",343,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",68,882,"Yes","No",21600,31503,9903,5.07661028301979,"yes",0
"40",177.35,"17:16:00","17:23:15","0:07:15","15-04019",47623,"WBO","2016","3/13/16",1,"Obo","EDE","F","Known","2+","Known","DBrown",43.75,21.7,46.73,NA,"Y",NA,"H","H",2,1,1,6,7.92,"BF","Prebreed",29.55,29.11,177.35,0,"N","no",NA,NA,NA,NA,"N",358,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",73,435,"Yes","No",21600,62160,40560,5.17812518121963,"no",1
"41",187.8,"10:35:00","10:47:00","0:12:00","16-04224",47691,"YKK","2016","3/14/16",0,"Obo","EDE","F","Plum","1+","Skull","DBrown",42.01,21.21,47.1,NA,"N",NA,"H","H",1,1,1,9,6.98,"BF","Prebreed",49.66,51.95,187.8,0,"Y","no",NA,NA,NA,NA,"N",352,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",74,720,"Yes","No",21600,38100,16500,5.23537756677416,"no",1
