"","Trial_Sex","Date","Time","Subspecies","Sex","MntM","MntF","Song_actual","BreedYN","Mount_Pheno","Sex_Mount_Pheno","duet_song_rate","total_T_less_5_proportion","Duet_lat","Flyby_proportion","lat_5","Leapfrog_prop"
"73","M1632_M","2/6/16","7:35","M.a.moretoni","M","B2","A2","6_M.a.moretoni","N","Unornamented","M_Unornamented",0.008521418,0.319606104,22.898529,0,19.213708,0.00426070893970133
"74","M1632_F","2/6/16","7:35","M.a.moretoni","F","B2","A2","6_M.a.moretoni","N","Unornamented","F_Unornamented",0.009941654,0.325349741,3.679794,0,4.732671,0.00426070893970133
"75","M1633_F","2/6/16","9:23","M.a.moretoni","F","B1","C4","5_M.a.moretoni","Y","Ornamented","F_Ornamented",0.00556352,0,116.065842,0,NA,0
"76","M1635_F","2/7/16","7:55","M.a.moretoni","F","B1","C2","5_M.a.moretoni","N","Ornamented","F_Ornamented",0.006685458,0,87.185873,0,NA,0.0055712153443037
"77","M1635_M","2/7/16","7:55","M.a.moretoni","M","B1","C2","5_M.a.moretoni","N","Ornamented","M_Ornamented",0.004456972,0.072145316,173.928401,0.001114243,26.758215,0.0055712153443037
"78","M1636_M","2/13/16","17:35","M.a.moretoni","M","B3","A1","3_M.a.moretoni","N","Unornamented","M_Unornamented",0.015319011,0.182535695,50.541156,0,185.647907,0.00328264516317576
"79","M1636_F","2/13/16","17:35","M.a.moretoni","F","B3","A1","3_M.a.moretoni","N","Unornamented","F_Unornamented",0.014224796,0.201967592,44.637105,0,202.770926,0.00328264516317576
"80","M1638_M","2/13/16","6:15","M.a.moretoni","M","B3","C2","5_M.a.moretoni","N","Ornamented","M_Ornamented",0.01437876,0.886492969,38.649119,0,104.055321,0.0121666431173915
"81","M1638_F","2/13/16","6:15","M.a.moretoni","F","B3","C2","5_M.a.moretoni","N","Ornamented","F_Ornamented",0.015484819,0.833490233,7.447375,0,108.199721,0.0121666431173915
"82","M1642_M","2/15/16","6:40","M.a.moretoni","M","B1","C1","5_M.a.moretoni","N","Ornamented","M_Ornamented",0.009992312,0.223721158,30.060427,0,70.030883,0.00444102761648582
"83","M1642_F","2/15/16","6:40","M.a.moretoni","F","B1","C1","5_M.a.moretoni","N","Ornamented","F_Ornamented",0.008882055,0.073517126,10.319426,0,287.116542,0.00444102761648582
"84","M1643_F","2/15/16","8:15","M.a.moretoni","F","B3","A4","3_M.a.moretoni","N","Unornamented","F_Unornamented",0.008954025,0,15.923777,0.001119253,NA,0.00223850616317661
"85","M1644_F","2/15/16","9:15","M.a.moretoni","F","B2","C1","5_M.a.moretoni","N","Ornamented","F_Ornamented",0.009595705,0.329656862,17.954231,0.00274163,60.940087,0.00137081496018619
"86","M1645_F","2/15/16","17:05","M.a.moretoni","F","B1","C3","2_M.a.moretoni","N","Ornamented","F_Ornamented",0.013461218,0.132213521,12.860982,0.002243536,47.769361,0
"87","M1646_F","2/16/16","6:10","M.a.moretoni","F","B1","A3","6_M.a.moretoni","N","Unornamented","F_Unornamented",0.012595323,0.049559009,136.356219,0.003435088,156.346572,0
"88","M1647_F","2/16/16","7:40","M.a.moretoni","F","B2","A1","1_M.a.moretoni","N","Unornamented","F_Unornamented",0.010193959,0.11166958,10.054117,0.00291256,28.811798,0
"89","M1648_F","2/16/16","17:00","M.a.moretoni","F","B1","C3","5_M.a.moretoni","N","Ornamented","F_Ornamented",0.017789247,0,72.497779,0,NA,0.00333548381981648
"90","M1649_F","2/17/16","6:15","M.a.moretoni","F","B4","A3","6_M.a.moretoni","N","Unornamented","F_Unornamented",0.008426016,0.512008734,11.327541,0.00702168,5.182535,0.00561734410942532
"91","M1650_F","2/17/16","7:15","M.a.moretoni","F","B1","C4","2_M.a.moretoni","N","Ornamented","F_Ornamented",0.002934161,0.298078867,11.440838,0.002934161,11.440838,0
"92","M1651_F","2/17/16","8:25","M.a.moretoni","F","B2","A2","3_M.a.moretoni","N","Unornamented","F_Unornamented",0.018836663,0.03114754,16.644381,0.001108039,54.926457,0.00443215594735716
