"","Time_delay_sec","Sex","Subspecies","Plasma.T","LPlasma.T","jul_date","Time_delay_sec.1","T_aft_sunrise","ABBBS.No.","Year","andr.detected","minT_compiled"
"192",420,"F","M.a.moretoni",253.5455652,5.53554355125785,166,420,39900,36113,2014,0,"yes"
"193",110,"M","M.a.moretoni",62.96,4.14249960410915,220,110,1920,36174,2015,0,"yes"
"194",460,"F","M.a.moretoni",63.05,4.14392806241093,228,460,4640,36133,2015,0,"yes"
"195",168,"F","M.a.moretoni",66.02,4.18995772642505,317,168,43320,47761,2015,0,"yes"
"196",240,"M","M.a.moretoni",66.15,4.19192489056096,228,240,5190,36132,2015,0,"yes"
"197",220,"F","M.a.moretoni",67.12,4.20648206215895,224,220,5930,36197,2015,0,"yes"
"198",135,"F","M.a.lorentzi",67.92,4.21833054200309,190,135,39960,36142,2015,0,"yes"
"199",130,"F","M.a.moretoni",68.22,4.2227377769905,228,130,15330,47754,2015,0,"yes"
"200",280,"M","M.a.moretoni",68.72,4.230040277676,224,280,11540,36128,2015,0,"yes"
"201",120,"M","M.a.moretoni",69.47,4.24089500470479,243,120,40560,36095,2015,0,"yes"
"202",240,"F","M.a.moretoni",70.78,4.25957647491732,305,240,12780,36150,2015,0,"yes"
"203",225,"F","M.a.lorentzi",71.55,4.27039650600246,185,225,41880,47637,2015,0,"yes"
"204",225,"F","M.a.lorentzi",71.55,4.27039650600246,185,225,41880,47637,2015,0,"yes"
"205",210,"F","M.a.lorentzi",71.55,4.27039650600246,189,210,4740,47653,2015,0,"yes"
"206",210,"F","M.a.lorentzi",71.55,4.27039650600246,189,210,4740,47653,2015,0,"yes"
"207",510,"F","M.a.moretoni",71.6,4.2710950739666,229,510,37740,47758,2015,0,"yes"
"208",120,"F","M.a.moretoni",73.85,4.30203600897739,301,120,13380,36126,2015,0,"yes"
"209",180,"F","M.a.moretoni",74.55,4.31147004121075,288,180,5880,47780,2015,0,"yes"
"210",150,"F","M.a.lorentzi",74.73,4.3138816179422,190,150,5540,47662,2015,0,"yes"
"211",360,"F","M.a.moretoni",75.69,4.32664605132108,244,360,4320,36155,2015,0,"yes"
"212",450,"F","M.a.moretoni",75.71,4.32691025211521,199,450,720,36150,2015,0,"yes"
"213",163,"F","M.a.lorentzi",77.3,4.34769395559338,181,163,8820,47616,2015,0,"yes"
"214",163,"F","M.a.lorentzi",77.3,4.34769395559338,181,163,8820,47616,2015,0,"yes"
"215",210,"F","M.a.moretoni",77.45,4.34963256686288,205,210,12060,47702,2015,0,"yes"
