ABBBS.No.,Date,Year,Sex,Subspecies,Plasma.T,LPlasma.T,Time_delay_sec,jul_date,T_aft_sunrise,andr.detected
47636,7/4/15,2015,M,M.a.lorentzi,1166.33,7.061617346,325,185,41880,1
47720,7/19/15,2015,F,M.a.moretoni,1170.33,7.065041039,210,200,43140,1
36143,7/2/15,2015,M,M.a.lorentzi,1184.79,7.077320823,240,183,12240,1
36016,7/19/15,2015,M,M.a.moretoni,1197.75,7.088200076,105,200,36360,1
36158,10/9/15,2015,M,M.a.moretoni,1221.59,7.107908568,180,282,42120,1
36162,8/6/15,2015,M,M.a.moretoni,1367.01,7.220381152,205,218,36960,1
47663,7/9/15,2015,M,M.a.lorentzi,1389.7,7.236843175,183,190,17160,1
47760,11/4/15,2015,M,M.a.moretoni,1456.59,7.283853366,240,308,6240,1
47701,11/4/15,2015,M,M.a.moretoni,1752.77,7.468952673,158,308,43054,1
36173,10/6/15,2015,M,M.a.moretoni,1985.39,7.593570647,180,279,39180,1
36098,11/4/15,2015,M,M.a.moretoni,2019.01,7.610362571,222,308,38936,1
36090,11/1/15,2015,M,M.a.moretoni,2454.39,7.805633537,120,305,12780,1
47661,7/9/15,2015,M,M.a.lorentzi,3062.68,8.027045629,157,190,4920,1
36076,11/5/15,2015,M,M.a.moretoni,3087.24,8.035032767,261,309,-1020,1
36140,7/4/14,2014,M,M.a.lorentzi,65.48,4.181744753,780,185,7620,0
36090,7/14/14,2014,M,M.a.moretoni,82.53,4.413161864,240,195,180,0
11017,6/24/14,2014,F,M.a.moretoni,101.94,4.624384405,480,175,1380,0
11011,7/13/14,2014,M,M.a.moretoni,105.84,4.66192852,720,194,13680,0
36168,7/23/14,2014,M,M.a.moretoni,107.87,4.680926798,360,204,12000,0
36170,7/24/14,2014,M,M.a.moretoni,112.75,4.725172978,540,205,3480,0
36198,7/22/14,2014,F,M.a.moretoni,133.73,4.895822842,900,203,13260,0
36150,7/14/14,2014,F,M.a.moretoni,134.32,4.900225013,1020,195,180,0
36159,7/22/14,2014,F,M.a.moretoni,135.13,4.906237278,300,203,9600,0
36016,7/14/14,2014,M,M.a.moretoni,135.18,4.906607224,900,195,12000,0
36144,7/5/14,2014,F,M.a.lorentzi,162.02,5.087719784,1140,186,40620,0
